Room, startTime, endTime , days, capacity
MILS 214, 10:20 am, 11:10 am, W,30
AGLS 115, 08:00 am, 08:50 am, MW,78
AGLS 109, 09:35 am, 10:50 am, TR,16
AGLS 117, 12:45 pm, 02:00 pm, TR,40
AGLS 109, 02:20 pm, 03:35 pm, TR,16
AGLS 132, 09:10 am, 10:00 am, MW,2
AGLS 132, 10:00 am, 11:50 am, F,2
AGLS 132, 10:20 am, 11:10 am, MW,2
AGLS 132, 08:00 am, 09:50 am, F,2
AGLS 117, 02:20 pm, 05:20 pm, T,12
AGLS 132, 12:40 pm, 03:40 pm, W,0
AGLS 117, 04:10 pm, 07:10 pm, W,12
AGLS 117, 09:35 am, 12:35 pm, T,10
AGLS 109, 11:30 am, 02:30 pm, M,12
AGLS 109, 03:00 pm, 06:00 pm, M,12
AGLS 117, 05:30 pm, 08:30 pm, T,12
AGLS 109, 01:50 pm, 04:50 pm, W,12
AGLS 113, 10:20 am, 11:10 am, F,15
AGLS 117, 04:10 pm, 07:10 pm, M,12
AGLS 117, 03:55 pm, 06:55 pm, R,13
AGLS 115, 03:00 pm, 03:50 pm, W,90
AGLS 115, 09:10 am, 10:00 am, MWF,45
AGLS 115, 09:10 am, 10:00 am, MWF,25
AGLS 115, 10:20 am, 11:10 am, MWF,45
AGLS 115, 10:20 am, 11:10 am, MWF,20
AGLS 115, 11:30 am, 12:20 pm, MWF,0
JJKB 146, 11:10 am, 12:25 pm, TR,10
AGLS 115, 08:00 am, 09:15 am, TR,75
AGLS 115, 11:10 am, 12:25 pm, TR,70
AGLS 113, 03:55 pm, 05:10 pm, TR,40
KLCT 115, 12:40 pm, 01:30 pm, MW,22
KLCT 115, 08:00 am, 09:00 am, T,22
KLCT 115, 09:10 am, 10:10 am, T,22
KLCT 115, 10:20 am, 11:20 am, T,22
KLCT 115, 11:30 am, 12:30 pm, T,22
KLCT 115, 12:40 pm, 01:40 pm, T,22
KLCT 115, 01:50 pm, 02:50 pm, T,22
KLCT 115, 03:00 pm, 04:00 pm, T,22
KLCT 115, 04:10 pm, 05:10 pm, T,22
KLCT 115, 12:40 pm, 01:30 pm, MW,0
KLCT 115, 08:00 am, 09:00 am, T,0
WCBA 155, 08:00 am, 09:15 am, TR,40
AGLS 113, 12:45 pm, 02:00 pm, TR,40
AGLS 117, 01:00 pm, 04:00 pm, W,5
AGLS 117, 01:00 pm, 04:00 pm, W,10
AGLS 115, 09:35 am, 10:50 am, TR,70
AGLS 115, 12:45 pm, 02:00 pm, TR,65
AGLS 115, 12:40 pm, 01:30 pm, MWF,65
AGLS 113, 11:10 am, 12:25 pm, TR,40
AGLS 115, 03:55 pm, 05:10 pm, TR,0
AGLS 132, 04:10 pm, 05:25 pm, MW,40
AGLS 113, 04:10 pm, 05:25 pm, MW,20
AGLS 115, 02:20 pm, 03:35 pm, TR,50
AGLS 116, 01:50 pm, 02:40 pm, MW,0
KLCT 127, 11:30 am, 12:20 pm, MWF,0
KLCT 115, 10:20 am, 11:10 am, MWF,212
KLCT 115, 09:35 am, 10:50 am, TR,60
HPCT 123, 08:00 am, 09:15 am, TR,25
PRPV 101, 08:00 am, 09:50 am, M,20
PRPV 101, 07:00 pm, 09:00 pm, R,20
PRPV 101, 07:00 pm, 09:00 pm, T,20
PRPV 101, 10:00 am, 11:50 am, M,20
PRPV 101, 12:40 pm, 02:30 pm, M,0
PRPV 101, 07:00 pm, 09:00 pm, R,0
PRPV 101, 07:00 pm, 09:00 pm, T,0
PRPV 101, 03:00 pm, 04:50 pm, M,0
PRPV 101, 08:00 am, 09:50 am, T,25
PRPV 101, 07:00 pm, 09:00 pm, R,25
PRPV 101, 07:00 pm, 09:00 pm, T,25
PRPV 101, 10:00 am, 11:50 am, T,25
PRPV 101, 01:00 pm, 02:50 pm, T,0
PRPV 101, 03:00 pm, 04:50 pm, T,25
PRPV 101, 08:00 am, 09:50 am, W,12
PRPV 101, 07:00 pm, 09:00 pm, R,12
PRPV 101, 07:00 pm, 09:00 pm, T,12
PRPV 101, 10:00 am, 11:50 am, W,20
PRPV 101, 03:00 pm, 04:50 pm, W,0
PRPV 101, 08:00 am, 09:50 am, R,25
PRPV 101, 10:00 am, 11:50 am, R,25
PRPV 101, 01:00 pm, 02:50 pm, R,0
PRPV 101, 03:00 pm, 04:50 pm, R,25
PRPV 101, 08:00 am, 09:50 am, F,0
PRPV 101, 10:00 am, 11:50 am, F,20
PRPV 101, 12:40 pm, 02:30 pm, F,12
PRPV 101, 05:00 pm, 06:50 pm, M,20
PRPV 101, 05:00 pm, 06:50 pm, W,20
PRPV 101, 05:00 pm, 06:50 pm, T,24
PRPV 101, 07:00 pm, 09:00 pm, R,24
